identificador;enunciated;link_do_video;comment;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;correct
UNICAMPSPSP2019R12Q2;;https://vimeo.com/434062034;" Questão nos pede quais situações o paciente precisa apenas de precaução de contato, vamos lá: A – CORRETA, todos aqui são situações em que apenas a precaução de contato é o necessário, visto que não temos nenhuma doença que seja transmitida por gotículas ou aerossol; B – INCORRETA, vírus Ebola tem uma letalidade altíssima, é transmitido pelo contato com qualquer secreção do paciente e embora a transmissão respiratória não seja a mais comum, também já foi identificada, além disso Virus Influenza e o sincicial respiratório também precisam de isolamento respiratório; C – INCORRETA, tanto meningococo quanto micobacteriose não tuberculose tem transmissão por via aérea; D - INCORRETA, o sarampo tem transmissão via aérea muito forte.";"A) Cólera; abscesso com secreção incontida; colonização por patógeno multidroga resistente; herpes simples mucocutâneo grave.";"B) Vírus Ebola; vírus influenza; vírus sincicial respiratório; doença de Creutzfeldt-Jakob.";"C) Hantavirose; meningococcemia; micobacteriose não-tuberculosis; rubéola.";"D) Sarampo; herpes zoster disseminado; roséola infantum; diarreia em paciente incontinente.";;
UNICAMPSPSP2019R12Q3;;https://vimeo.com/434062300;" Temos um homem com quadro de fungemia, infecção de corrente sanguínea (ICS) por fungos, no caso leveduras, a questão nos dá o perfil de susceptibilidade dos fungos causadores de ICS no serviço e nos pede a melhor conduta, vamos lá: A – CORRETA, como estamos diante de um paciente com leveduras, o paciente não pode ter Fusarium sp, Mucor sp e Rhizopus sp, pois estas NÃO são leveduras, só nos resta então as Candidas, e pela tabela vemos que para as cândidas as equinocandinas tem sensibilidade de 100% em todas, por isso o uso da Micafungina (uma equinocandina) é o tratamento inicial mais seguro para esses casos de candidemia; B – INCORRETA, pela tabela conseguimos ver que para a C. krusei a anfotericina tem 5% de chance de não tratar o paciente, enquanto as equinocandinas tratam 100% de todos os tipos de cândida, outro fator é que a anfotericina B tem elevada nefrotoxicidade outro motivo para preferir as equinocandinas; D e C – INCORRETAS, Fusarium sp, Mucor sp e Rhizopus sp NÃO são leveduras.";A) Micafungina até definição do patógeno, podendo ser trocado para fluconazol se confirmado Candida albicans ou C. tropicalis.;B) Anfotericina B, independente da identificação final do patógeno.;C) Fluconazol até definição do patógeno, podendo ser trocado para anfotericina B se confirmado Mucor sp ou Rhizopus sp.;D) Voriconazol até definição do patógeno, devendo ser trocado para anfotericina B se confirmado Fusarium sp.;;
UNICAMPSPSP2019R12Q4;;https://vimeo.com/434062589;" Temos um paciente que já possuía transtorno bipolar há 13 anos, fazendo uso de carbonato de lítio, carbamazepina e clonazepam. Por ter apresentado um episódio maníaco com sintoma psicótico há 1 mês, foi adicionada olanzapina ao seu tratamento, mas o paciente acabou evoluindo com apatia e lentificação motora, que foram os motivos que levaram o paciente a ser trazido para emergência. No exame físico ele está com hipertermia (41,2ºC), hipertonia de extremidades, leucócitos aumentados, cpk aumentada, PA nos limites inferiores da normalidade, e com TC de crânio nos afastando algum acometimento agudo do SNC. Estamos diante de um quadro de síndrome neuroleptica malígna, em que temos 2 quadros de comprometimento neurológico à confusão mental e/ou disautonomia; e temos 2 hiper à hipertemia e hipertonia (esta pode ser suficiente para causa rabdomiólise). Além da suspensão da droga causadora, no caso a olanzapina, também podemos fazer uso de um antídoto, que não é tão validado, mas é possível seu uso, isso é feito porque acredita-se que exista um bloqueio dopaminérgico no SNC como responsável pela síndrome neurolpetica maligna, podendo então ser usado um agonista dopaminérgico como a Bromocriptina, resposta letra A.";A) Bromocriptina.;B) Haloperidol.;C) Buspirona.;D) Riluzol.;;
UNICAMPSPSP2019R12Q5;;https://vimeo.com/434062787; Estamos diante de um idoso internado para tratamento de uma infecção aguda e que NÃO tinha alterações cognitivas prévias, que passou a apresentar no segundo dia (alteração aguda), letargia, PERÍODOS de confusão mental, diminuição da atividade motora e retenção urinária. Temos que lembrar que pacientes idosos, internados, com infecção e apresentando episódios de confusão mental, estão sob risco de desenvolver estado confusional agudo, também chamado de Delirium. Resposta letra A. Não vamos pensar em esquizofrenia ou demência porque são doenças crônicas, e o paciente não tinha alterações cognitivas prévias. A questão não nos dá dados para pensar em hipoglicemia, caso o paciente tivesse hipoglicemia não teria confusão mental flutuante, o paciente ficaria com rebaixamento de consciência persistente até corrigida hipoglicemia ou que o paciente fosse a óbito.;A) Delirium.;B) Esquizofrenia.;C) Demência.;D) Hipoglicemia.;;
SESPEPE2018R12Q21;;https://vimeo.com/434063827; Temos aqui um paciente com tumor neuroendócrino gástrico e a questão nos pede qual marcador tumoral solicitar. Quando estamos diante desses tumores neuroendócrinos gástricos, temos como marcador a Cromogramina A, que é um glicoproteína secretada pelos tumores neuroendócrinos. A partir desse marcador podemos fazer a correlação quanto ao diagnóstico do paciente, estadiamento do paciente e a recorrência, com a dosagem da Cromogramina A. Resposta letra D. O CEA costuma ser cobrado nos tumores colorretais, quanto à chance de metástase à distância e quanto à recorrência. A alfafetoproteína é um marcador tumoral muito clássico do Hepatocarcinoma. O CA 125 está relacionado com os tumores de origem ovariana e também pode estar aumentado nas mulheres com endometriose. O CA 625 não tem relação com nenhum marcador tumoral.;A) CEA.;B) Alfafetoproteína.;C) CA 125.;D) Cromogramina A.;E) CA 625.;
SESPEPE2018R12Q22;;https://vimeo.com/434063964; Questão abordando as várias técnicas de gastroplastia e pede a que promove a redução da grelina e que é a mais usada nos EUA. Duas técnicas cirúrgicas são as mais utilizadas, o Bypass em y Roux e a Gastrectomia Sleeve, esta última a mais usada nos EUA, no Brasil o Bypass ainda é mais utilizada. Na técnica Sleeve fazemos a retirada de toda a grande curvatura do estômago, deixando um pequeno estômago. Quando fazemos essa retirada, também diminuímos a produção de grelina, pois esta é produzida no fundo gástrico, parte que também é retirada no Sleeve. Esse é uma técnica excelente porque ao diminuir a produção de grelina, o paciente passa a sentir menos fome, pois esse é um hormônio orexígeno. No caso do Bypass em y Roux, a parte excluída do estômago não é retirada, ainda fica no corpo do paciente, e ainda que a produção de grelina esteja diminuída, ela ainda é maior do que no Sleeve. As cirurgias de Scopinaro e o Switch duodenal estão em desuso. A banda gástrica ajustável não tem interferência na produção de grelina. Resposta letra E.;A) Scopinaro.;B) Bypass em y Roux.;C) Switch duodenal.;D) Banda gástrica ajustável.;E) Gastrectomia Sleeve.;
SESPEPE2018R12Q23;;https://vimeo.com/434077068;                O manejo do paciente com pancreatite aguda biliar grave é baseado na instalação de medidas de suporte. Sendo assim, deve-se manter dieta zero, com hidratação venosa, lembrando-se que o parâmetro para a reintrodução da dieta é a ausência de dor. Vale salientar que estudos comprovam a associação da nutrição precoce com a melhora na evolução dos pacientes. Como a via oral deve ser evitada, a nutrição pode ser realizada através de sonda nasoenteral, preferencialmente posicionada após a papila de Vater. Caso não seja possível o posicionamento da sonda, deve-se optar pela realização da nutrição parenteral. A administração de antibióticos é reservada aos casos de necrose infectada, não sendo rotineira a prescrição de antibioticoterapia ou antibioticoprofilaxia, nas pancreatites. Sobre esse tema, seguem as assertivas. ALTERNATIVA A – INCORRETA: Como dito anteriormente, a antibioticoprofilaxia não é rotineira no manejo das pancreatites. ALTERNATIVA B – CORRETA: Como supracitado, o início da nutrição assim que possível apresenta correlação de melhora na evolução do paciente. ALTERNATIVA C – INCORRETA: Quanto mais se posterga a necrosectomia do paciente, a área de necrose se torna mais bem delimitada, tornando a ressecção cirúrgica mais segura. ALTERNATIVA D – INCORRETA: A drenagem biliar percutânea só está indicada em casos de obstrução. ALTERNATIVA E – INCORRETA: Não há indicação de ácido ursadesoxicólico no manejo de pacientes com essa afecção.;A) Antibiótico profilático.;B) Nutrição enteral precoce.;C) Necrosectomia cirúrgica precoce.;D) Drenagem biliar percutânea.;E) Ácido ursadesoxicólico.;
SESPEPE2018R12Q24;;https://vimeo.com/434063911; Questão abordando o rastreamento do câncer de cólon através da colonoscopia. Esse rastreamento para indivíduos assintomáticos é feito a partir dos 50 anos, resposta letra D. Se a pessoa tem um caso em parente de primeiro grau, devemos começar o rastreamento aos 40 anos ou 10 anos antes da idade que o parente teve o câncer, o que for mais cedo.;A) 40 anos.;B) 60 anos.;C) 35 anos.;D) 50 anos.;E) 70 anos.;
SESPEPE2018R12Q5;;https://vimeo.com/434076994;                A tríade de Cushing se relaciona ao aumento da pressão intracraniana e é composta por três manifestações clínicas: hipertensão, bradicardia e bradipneia (ou alteração da frequência respiratória, sendo a bradipneia a mais comum). ALTERNATIVA C – CORRETA. Vale lembrar que, toda vez que um paciente apresenta hipertensão intracraniana existe diminuição da perfusão cerebral. Está é resultado de uma subtração entre a pressão arterial média e a pressão intracraniana (PPC = PAM – PIC). Idealmente, os valores da pressão de perfusão cerebral se mantém em torno de 80 mmHg, enquanto a PIC média fica em trono de 5 – 15 mmHg.;A) anisocoria, decorticação e afasia;B) cefaleia, diplopia e vômitos em jato;C) hipertensão, bradicardia e respiração irregular;D) hipotensão, taquicardia e taquipneia;E) miose fixa, decerebração e Babinsky +;
UNICAMPSPSP2019R12Q17;;https://vimeo.com/434064101;" Estamos diante de uma mulher submetida a procedimento cirúrgico e que tinha algumas comorbidades como DM, obesidade grau II, PTI em uso de prednisona. Essa paciente passou a apresentar febre no 4º DPO e hiperemia na incisão. A questão nos pede então a alternativa CORRETA, vamos lá: A – CORRETA, todos esses são fatores de risco bem estabelecidos para infecção do sítio cirúrgico; B – INCORRETA, a presença de dreno não indica a necessidade de ATB, outro erro é que antibioticoprofilaxia pode ser estendida até 24 horas, em casos excepcionais por até 48 horas, mas nunca por 72h ou mais; C – INCORRETA, os patógenos mais frequentemente envolvidos são os da pele, ou seja, S. aureus; D – INCORRETA, em uma paciente com PTI o benefício do uso do corticoide é muito maior do que o risco.";A) A hiperglicemia, a obesidade e o uso de prednisona são fatores de risco para a infecção da ferida cirúrgica.;B) O uso antibiótico profilático deveria ter sido estendido por mais 72 horas após a cirurgia pela presença do dreno.;C) Os patógenos mais frequentemente envolvidos são os cocos Gram-negativos encapsulados como o Enterococcus sp.;D) A corticoterapia deveria ter sido suspensa no pré-operatório e reintroduzida 2 semanas após a alta.;;
UNICAMPSPSP2019R12Q18;;https://vimeo.com/434064584; Temos uma paciente submetida à tireoidectomia total, que no 2º DPO evoluiu com formigamento e adormecimento perioral, dor abdominal, vômitos e chiadeira no peito, além disso, no exame físico apresentou flexão do punho e das articulações metacarpofalangeanas, extensão das interfalangeanas distais e adução do polegar enquanto a PA estava sendo medida, ou seja, o clássico sinal de Trousseau, relacionado com hipocalcemia. Vemos então que a paciente está apresentando uma clínica de hipocalcemia, mas por que? Lembrem que na tireoidectomia total pode ocorrer a retirada inadvertida das paratireoides, com o paciente evoluindo com hipocalcemia. Sendo assim, a paciente precisa repor cálcio, Resposta letra B.;A) Escopacolamina.;B) Gluconato de cálcio.;C) Tiroxina.;D) Cloreto de potássio.;;
UNICAMPSPSP2019R12Q19;;https://vimeo.com/434064213;" Estamos diante de um paciente que sofreu trauma grave, necessitando de intervenção cirúrgica, mas durante a cirurgia foi visto uma grande quantidade de lesões, mas que pelo paciente estar instável, com hipotermia, INR alargado, acidose metabólica, lactato elevado, Hb baixa, foi decidido apenas por cirurgia de controle de danos. Essa cirurgia objetiva controlar os problemas mais agudos como contaminação da cavidade, controle de sangramento de grandes sítios sangrantes, para que o paciente não morra no momento, mas não visa solucionar todos os problemas. Depois da resolução dos problemas que causam risco à vida do paciente, ele é transferido para UTI para que possa ser melhor estabilizado, com correção da acidose, da hipotermia e da coagulopatia, para depois de 24-48 horas, com o paciente em melhor status, ser reabordado cirurgicamente para solucionar o resto dos problemas. Resposta letra D. A – INCORRETA, o paciente está muito grave, não tem condições de ser extubado nesse momento; B – INCORRETA, a hipotermia é um dos fatores da tríade letal do trauma, o paciente deve ser mantido na eutermia; C – INCORRETA, esse paciente até pode receber uma expansão volêmica, mas ele precisa também de concentrado de hemácias, concentrado de plaquetas e plasma fresco congelado.";A) Programar extubação nas próximas 6 horas considerando o nível de paO2.;B) Manter hipotermia para proteção tecidual.;C) Infundir solução fisiológica para correção do lactato.;D) Reverter a acidose, a coagulopatia e a hipotermia.;;
UNICAMPSPSP2019R12Q20;;https://vimeo.com/434064362; Estamos diante de um paciente de 53 anos com queixa de dor lombar crônica e que no exame físico apresenta massa palpável em mesogástrio, com 4 cm de diâmetro e pulsátil. A hipótese diagnóstica mais provável para o paciente é um aneurisma de aorta abdominal. O aneurisma de aorta abdominal mais comum é o Infrarenal, mas ainda existem os juxtarenal (um pequeno colo separando o aneurisma das artérias renais), pararenal (envolve as artérias renais), suprarrenal/toracoabdominal. O diagnóstico e acompanhamento desses pacientes é feito com USG de abdome, além disso devemos solicitar um RX de tórax para avaliar se o aneurisma se estende até aorta torácica. Resposta letra A.;A) Ultrassonografia de abdome e radiograma de tórax.;B) Angiotomografia de aorta e membros inferiores.;C) Angioressonância magnética da aorta e membros inferiores.;D) Arteriografia por subtração digital de aorta e membros inferiores.;;
UNICAMPSPSP2019R12Q21;;https://vimeo.com/434064442; Temos uma mulher vítima de ferimento por arma branca em hipogástrio esquerdo, estável hemodinamicamente, com FAST negativo, mas com exteriorização do omento, qual a conduta? Toda vez que tivermos um trauma abdominal penetrante temos que avaliar se o paciente é cirúrgico ou não, temos 3 achados clássicos que indicam cirurgia: peritonite, choque, evisceração. Como a paciente teve evisceração do omento, a paciente tem indicação de laparotomia exploradora! Resposta letra B.;A) Observação clínica, hemograma e proteína C reativa seriados.;B) Tipagem sanguínea e laparotomia exploradora.;C) Curativo estéril e exame radiográfico de abdome agudo.;D) Reintroduzir o omento, sutura do ferimento e reforço da vacina antitetânica.;;
SESPEPE2018R12Q41;;https://vimeo.com/434067543;" Segundo o protocolo de êmese na gestação, da Febrasgo, os medicamentos utilizados são: Dimenidrinato/Meclizina (anti-histamínicos); Metoclopramida (antagonista serotonina/dopamina); Ondansentrona (antagonista serotonina); Metilprednisolona (casos refratários). Então vemos que as letras B,C e D podem ser usadas. A cabergolina é um agonista da dopamina, medicamente com efeito contrário ao que queremos, inclusive, um dos efeitos colaterais dessa droga são náuseas e vômitos, portanto não é utilizada. No entanto, o Diazepam também NÃO é usado na gestação, mas a banca deu como gabarito apenas a letra A.";A) Cabergolina.;B) Ondansetrona.;C) Dimenidrinato.;D) Metoclopramida.;E) Diazepam.;
PUCRSRS2020R11Q30;;https://vimeo.com/434067387;" Questão abordando a vacina para HPV, vamos aproveitar para dar uma revisada. Temos 2 tipos de vacina, a bivalente e a quadrivalente. A bivalente protege contra os tipos de HPV 16 e 18, que são os mais relacionados à câncer de colo, a quadrivalente protege contra o 16 e 18 e também contra os tipos 6 e 11, estes mais relacionados às verrugas genitais. O Ministério da Saúde libera de MANEIRA GRATUITA da seguinte forma: 2 doses (0 e 6 meses) em meninas de 9-15 anos incompletos e meninos de 11-15 anos incompletos, 3 doses (0,2,6 meses) para pacientes HIV entre 9-26 anos. Mas temos que ficar atento que essa é a forma de liberação gratuita, a vacina é recomenda para TODOS, sejam homens ou mulheres, a partir da idade mínima. Vamos avaliar as alternativas: I – CORRETA, como dito a indicação é para TODOS, mas no caso da alternativa o Ministério da Saúde não vai liberar de forma gratuita; II – CORRETA, como vimos a quadrivalente evita os tipos 6,11,16,18; III – CORRETA, como vimos, ambas protegem contra os tipos 16 e 18, que são os mais relacionados à câncer de colo uterino. Portanto, resposta letra D.";A) I e II, apenas. ;B) I e III, apenas. ;C) II e III, apenas. ;D) I, II e III.;;
SESPEPE2018R12Q43;;https://vimeo.com/434067705;" Uma forma de memorizar os passos a serem feitos em casos de distocia de ombros é através do seguinte mnemônico: ALEERTA, A – Ajuda, vamos chamar ajuda; L – Levantar os membros inferiores em hiperflexão, manobra de McRoberts; E – Empurrar, fazer pressão suprabúbica, Manobra de Rubin I; E – Episiotomia, vamos pensar se vale a pena ou não realizar a episiotomia; R – Remover o braço posterior; T – Toque para manobras internas, Rubin II (mão na parte posterior do ombro anterior e girar  para tentar destravar), Woods (primeira mão do mesmo jeito que Rubin II, e a outra mão na parte anterior do ombro posterior e tentar de novo girar para destravar), Woods reversa/parafuso, vamos apenas trocar as mãos, desce a de cima e sobe a de baixo e novamente tentar girar, mas dessa vez o movimento é o contrário, para trás; A – Alterar a posição, paciente de 4 apoios, Manobra de Gaskin. Na maioria dos casos, nas manobras de McRoberts e de Rubin I é conseguido resolver a distocia. Vamos avaliar as alternativas: A – CORRETA, como vimos acima, são as primeiras manobras que vamos fazer; B – INCORRETA, Pinar é o estetoscópio e não existem manobra de saca-rolha; C – INCORRETA, Woods não faz parte das primeiras manobras, Pajot é uma manobra para o parto pélvico; D – INCORRETA, versão interna é feita quando a apresentação é córmica e tentamos rodar o bebê para que fique cefálico ou pélvico, Zavanelli é quando nada deu certo e vamos tentar empurrar a cabeça de volta para o útero e realizar cesariana, mas é um manobra com taxa de letalidade fetal alta; E – INCORRETA, a primeira é a manobra do parafuso, que só fazemos no final, Bracht também é uma manobra para parto pélvico.";A) MacRoberts e pressão suprapúbica.;B) Pinard e manabra de saca-rolha.;C) Woods e Pajot.;D) Versão interna e Zavanelli.;E) Rotação manual do ombro anterior e para posterior e Bracht.;
